PR,ID,OPIS,MOTO,SOMB,LSMC,SCBP,SCZP,ATBS,CGNR
1,1157F,od m. Bytnica do m. Węgrzynice,,,,,,,
2,1158F,od m. Bytnica do m. Grabin,,,,,,,
3,1165F,od skrzyż. z dr. woj. nr 276 do m. Grabin,,,,,,,
4,1157F,od m. Bytnica do m. Krosno Odrzańskie,33,1065,229,40,75,4,12
5,1158F,od m. Budachów do m. Bytnica,,,,,,,
6,1166F,od m. Budachów do m. Toporów,,,,,,,
7,1160F,od m. Budachów do skrzyż. z dr. pow. nr 1132F,,,,,,,
8,1160F,od skrzyż. z dr. pow. nr 1132F do dr. kraj. nr 29,,,,,,,
9,1132F,od m. Czetowice do skrzyż. z dr. pow. nr 1160F,,,,,,,
10,1132F,od m. Osiecznica do m. Czetowice,,,,,,,
11,1163F,od m. Krosno Odrzańskie do dr. pow. nr 1132F,,,,,,,
12,1160F,od m. Lubogoszcz do skrzyż. z dr. kraj. nr 29,,,,,,,
13,1160F,od m. Maszewo do m. Lubogoszcz,,,,,,,
14,1159F,od m. Maszewo do skrzyż. z dr. kraj. nr 29,,,,,,,
15,1159F,od granicy powiatu do m. Maszewo,,,,,,,
16,1147F,od m. Szczawno do m. Ciemnice,,,,,,,
17,1164F,od m. Pław do m. Szczawno,,,,,,,
18,1143F,od m. Trzebule do m. Łagów,,,,,,,
19,1143F,od m. Lubiatów do m. Trzebule,,,,,,,
20,1141F,od m. Kosierz do m. Tarnawa Krośnieńska,,,,,,,
21,1140F,od m. Bobrowice do m. Żarków,,,,,,,
22,1128F,od dr. woj. nr 287 do m. Dęby,,,,,,,
23,1135F,od m. Dęby do m. Strużka,,,,,,,
24,1139F,od m. Przychów do m. Strużka,,,,,,,
25,1138F,od m. Dobre do m. Kaniów,,,,,,,
26,1129F,od m. Chęciny do m. Łazy,,,,,,,
27,1129F,od m. Pole do m. Chęciny,,,,,,,
28,1139F,od m. Pole do m. Kaniów,,,,,,,
29,1137F,od m. Chęciny do m. Stargard Gubiński,,,,,,,
30,1137F,od m. Stargard Gubiński do m. Luboszyce,,,,,,,
31,1134F,od m. Wielotów do m. Węgliny,,,,,,,
32,1136F,od m. Brzozów do m. Grabice,,,,,,,
33,1106F,od m. Mielno do dr. woj. nr 285,,,,,,,
34,1106F,od m. Mielno do granicy powiatu,,,,,,,
35,1136F,od m. Grabice do m. Czarnowice,,,,,,,
36,1136F,od m. Czarnowice do dr. pow. nr 1139F,,,,,,,
37,1139F,od skrzyż. z dr. pow. nr 1136F do m. Pole,,,,,,,
38,1139F,od skrzyż. z dr. kraj. nr 32 do skrzyż. z dr. pow. nr 1136F,,,,,,,
39,1154F,od m. Żytowań do dr. woj. nr 138,,,,,,,
40,1153F,od m. Gubin do m. Żytowań,,,,,,,
41,1154F,od granicy państwa do m. Żytowań,,,,,,,
42,1153F,od m. Żytowań do m. Chlebowo,,,,,,,
43,1139F,od m. Bieżyce do dr. kraj. nr 32,,,,,,,
44,1153F,od m. Chlebowo do m. Wężyska,,,,,,,
45,1145F,od m. Wężyska do dr. kraj. nr 32,,,,,,,
46,1145F,od m. Krosno Odrzańskie do m. Wężyska,,,,,,,
47,1148F,od m. Krosno Odrzańskie do dr. kraj. nr 32,,,,,,,
48,1148F,od dr. kraj. nr 32 do dr. pow. nr 1147F,,,,,,,
49,1147F,od m. Bronków do skrzyż. z dr. pow. nr 1429F,,,,,,,
50,1147F,od m. Prądocinek do skrzyż. z dr. pow. nr 1150F,,,,,,,
51,1147F,od skrzyż. z dr. pow. nr 1150F do m. Dąbie,,,,,,,
52,1150F,od m. Brzeźnica do dr. kraj. nr 32,,,,,,,
53,1149F,od m. Dychów do m. Bobrowice,,,,,,,
54,1150F,od m. Gola do m. Brzeźnica,,,,,,,
55,1156F,od granicy państwa do m. Sękowice,,,,,,,
56,1151F,od dr. kraj. nr 32 do dr. kraj. nr 29,,,,,,,
57,1147F,od m. Dąbie do m. Szczawno,,,,,,,
58,1151F,od dr. kraj. nr 29 do m. Szczawno,,,,,,,
59,2607F,od dr. kraj. nr 32 do m. Gubin,,,,,,,
60,1147F,od skrzyż. z dr. pow. nr 1429F do m. Prądocinek,,,,,,,
61,1429F,od dr. woj. nr 287 do skrzyż. z dr. pow. nr 1147F,,,,,,,
62,1429F,od skrzyż. z dr. pow. nr 1147F do dr. kraj. nr 32,,,,,,,
